text,cleaned_label
 ogni mese 10 euro per i primi 3 mesi e se invece volessi una promo con qualche giga in piu ,
 salve ho appena attivato internet illimitato offerta per un giorno sto navigando ma ho consumato anche i mega residuo della mia offerya è normale ,
 3400000000 ho prestato cell a un amico per chiamare ma sua banca diceva essere  numero ver verde poi nn so perché in my vodafone nn riesco a loggarmi per vedere movimenti entrambe le mie mail mi indica nn valide ma il mio numero nn lo riconosce come già presente cm b mai ,
 salve sono un ho ricevuto un sms con addebito tre euro per smart passaporto tutto ok dopo poco mi è stato inviato un altro sms dove diceva che usavo una connessione non compresa in passaporto come mai ,
 ok senti un altra cosa ma io avendo fatto la crismars card posso non rinnovarla quando scade ,
 ok mi potete mandare per sms il link dove si inserisce il numero e il codice per vedere le promo riservate ,
 vorrei spendere meno non di più  ,
 ciao avrei un problema con il wifi nn mi si connette tramite la saponetta a mia sorella funziona e anche agli altri miei amici e a me nn accede ,
 spero che registriate le conversazioni con il vostro call center io chiesi esplicitamente la promozione per il solo mese di agosto la prego di controllare l utilizzo nei mesi successivi che é zero l operatrice mi disee che aveva provveduto alla disattivazione direttamente al nostro colloquio ,
 non c è qualche promozione ,
 account  vodafone assistant e procedere poi  vodafone assistant ad attivare un nuovo account con vodafone  vodafone assistant con lofferta dedicata  dario ma l offerta scusa non lo bruciata così dario mi permettete nuovamente di attivare quella esattamente comunque io rivoglio le mie 999 se tu non puoi invio reclamo da sito ,
 perfetto non so se riesco a fare una ricarica entro le 15 eventualmente come posso fare ,
 per caso ci sono delle offerte nuove con combinazione di minuti sms e giga o anche accoppiate di queste cose sms di conferma già arrivato ,
 ma come faccio a riattivarla nella app non mi da la possibilità di farlo e nemmeno sul sito ,
 ora non posso possiamo fare un altra volta seri ci sarà una promozione conveniente con il 2016 se no sono costretto a cambiare ,
 si con post pay perché il 2 dicembre ho aderito alla promozione che nn è mai andata a buon fine nonostante richiamo poi incomprensioni di pagamento e alla fine però i soldi nn ci sono piu ,
 buongiorno vorrei sapere perché mi è stato addebitato il servizio passport alle 2342 del giorno prima ieri sera quando non ne avrei avuto bisogno difatti prima di mezzanotte ho disattivato dati cellulare e riaming ,
 salve avrei bisogno di cambiare il mio piano e cancellare tutto cio attivo sul mio piano  in pochi giorni ho finito i 10€ di ricarica ,
 dovrei tornare indietro e ho paura di perdere la chat come ho fatto prima ci provo se mi scollego sai perché ,
 ok tvb ,
 non ti ho chiesto di disattivare il rinnovo ,
 buonaserq navigando su facebook sono stato infirizzato ad un link una volta aperta la pagina mi è arrivato un sms con scritto che mi era stato appena attivato un servizio a pagamento play soon ,
 bg volevo sapere se attivando christmas card 4 giga mi si a nulla automaticamente quella che ho di 5 giga o se devo prima disdirla ,
 si giusto a ragione quello ke avevo letto era quello di mia sorella si mi servirebbe il link per dire ke la chat e buona e bla bla bla ,
 ok per adesso mi attivi solo la tutto illimitato ,
 okeyma dato che non ho ricevuto nemmeno il messaggio di avvisosi può prolungare per un altro giorno almeno ,
 io sono interessata all offerta di cui chiedevo sopra  se non è possibile vorrà dire che cercherò qualcos altro ,
 quando mi scade il contratto  si sì certo ricaricabile se rimanessi in vodafone avrei la possibilità di cambiare la situazione limitando la penale  rimango in attesa ,
 buonasera io ho vodafone special 1000 dove pago 12 euro e in più ho 1 giga dove pago 2 euro il tutto 14 euro al mese volevo sapere se c era qualcosa per pagare meno ,
 buongiorno tiziana c è la possibilità di darmi l attivazione di extra 5 gb gratuitamente ,
 scusa ti disturbo ancora un attimo e puoi rispondermi con calma ho visto che i costi di questo mese sono stati annullati ma è previsto un rimborso in bolletta per quelli del mese già fatturato ,
 ciao ho provato a chiamare ma non ho mai risposta da nessuno comunque viverlo sapere se ho finito internet x che non mi fa più entrare ,
 mi serve una promozione fissa se poi non voglio rinnovare  ,
 ciao mi puoi attivare la sos internet per piacere ,
 e adesso se tolgo il wifi nn ho internet ,
 salve credo di aver attivato per sbaglio un servizio su internet dove mi scalavano 4 € alla settimana se potreste disattivarmelo grazie ,
 e gli ho quasi finito puoi fare qualcosa comunque auguri di buon anno ,
 come devo fare per disattivare delle promozioni che non mi interessano ,
 ciao volevo sapere quando scade la mia offerta e quanto mi costa il pacchetto grazie  ,ACTIVE_PROMOS
 si ora si siccome ho finito í giga volevo sapere se posso attivarmi qualcosa senza che ricarico di nuovo perché ricarico spesso ,
 nn sapevo ma per una prox volta dove li trovo nelle offerte già attive che se ho finito internet nn mi fa entrare o devo contattare voi ,
 non è più possibile avere solo i 4g a 3 euro al mese ,
 mi è  appena arrivato  un messaggio  che mi dice  che se non ho credito non posso utilizzare la mia offerta mi puoi  controllare  cosa succede ,
 quindi non si puo fare niente che mi servirebbe per il lavoro ,
 non può attivarmi qualcosa per stanotte  sono senza internet ok ,
 ok intanto disattiviamolo ,
 ho bisogno di una risposta so che a voi potrebbe non interessare ma ho urgenza di usare il telefono ripeto per usare un servizio che pago anticipatamente ,
 un ultima cosa c è per caso qualche promo legata all acquisto di un terminale brand vodafone 4g  tipo la prova tim 4g che eroga 22 gb gratis per provare il 4g ,
 buongiorno ho il fisso che da stamattina non riesco ha telefonare mentre quando mi chiamano loro lo sentono libero ma a me non suona ,
 salve volevo sapere se la nuova offerta vodafone 1000 che comprende 1000 minuti verso tutti e 3 giga al mese in 4g al costo di 7 euro mensili e attivabile sul mio numero vodafone ,
 ok ora è chiaro ma se qualcuno domani mi manda un sms l offerta si attiva in automatico ,
 non puo essere fuori se ho pagato le 3 euro sl giorno o 5 euro e vominque usavo ipad non il telefono per internet anche ora sul mio contatore vedo piu fi 30 euro di spese correnti cosa sono sempte 339 4891919 ,
 ieri ho finito i gigala promozione si rinnoverà il 1volevo sapere se era possibile avere qualche giga fino al rinnovo il 12 gennaio ,
 ho ricevuto via mail una vostra offerta per iphone 5s a 379 euro volevo sapere se si poteva avere anche a costo aggiuntivo il 32 g perché il 16gb non ha tanta memoria ,
 va beh facciamo una cosa lasciami il blocco e la gazzetta la leggo cartacea  non mi cambia nulla ,
 ciao buon anno posso avere un po di giga gratis ,
 pensavo che c era qualcosa di gratuito ma mi sa tanto di no come 1000€ per tutto il mesespiegati meglio allora cosa significa 1000€ per tutto il mese ,
 e se la volessi solo per il mese gratuito  ,
 vorrei informazioni precise per disdire sky online compreso nel mio contratto poiché non ne faccio uso e non desidero il rinnovo automatico dato che dopo i 12 mesi è a pagamento grazie ,
 salve non so come ma mi é stato attivato un servizio dillo alle stelle con tanto di addebito io non ho attivato niente di tutto ciò ,
 buongiorno volevo solo sapere se esisteva una chat per servizio clineti rete fissa eh se si dove potevo trovarla ,
 buon giorno ho terminato i 520 mb di internet e avrei bisogno di attivare sos internet ,
 ciao ho una sola domanda ho attivato il servizio x avere 1gb extra e insieme al messaggio x l attivazione mi è arrivato anche un sms con scritto scegli unlimited 2gb è stata disattivata come mai ,
 ciao senti io dovrei attivare altri gb internet in piu mi èarrivato il mess che ho internet bloccato ,
 mi è arrivato un mess dicendomi che ho quasi terminato i giga poi come faccio ad accorgermi xhe il numero tre è passato a vodafone ,
 ciao anna in primis  buon anno non pensavo lavoraste oggi  quindi avevo chiuso l applicazione volevo chiederti una cosa io lavoro per vodafone business  e son continuamente sotto attacchi di prese in giro in quanto con l abbinamento privato pago più di quanto paga uno con l abbonamento business ,
 grazie gentilissima ,
 grazie gentilissima ,
 grazie gentilissima ,
 grazie gentilissima ,
 grazie gentilissima ,
 grazie gentilissima ,
 grazie gentilissima ,
 grazie gentilissima ,
 grazie gentilissima ,
 grazie gentilissima ,
 grazie gentilissima ,
 grazie gentilissima ,
 grazie gentilissima ,
 grazie gentilissima ,
 se volessi cambiate il filo telefonico che parte da giu e che arriva alla presa che sicuramente è vecchio e con qualche aggiunta che crea dispersione voi potete mandarmi un tecnico oppure a chi mi devo appoggiare i dati me li ha comunicati il tecnico che me l ha installata con il suo strumento ,
 ah va bene no chiedevo semplicemente perché di recente ho disattivato l offerta dei 100 sms a 2 euro e pensavo fosse connesso nessun problema  per adesso a posto così attendo sms grazie buona giornata e buona epifania ,
 ah okadesso ho disattivatocmq in questo momento ho scritto e aperto solo questa appvoglio vedere cosa ha consumatoda stamattina 400 mb neanche mi facessi una cultura su video e film dal telefono bohcmq fa nienteadesso proverò a vedere come va nelle prossime ore ,
 ho pagato 18€ per avere 3gb a 2gb si è bloccato internet ,
 certo me l hanno fatta a posta i vostri operatori perché se no non avevo giga di internet con la mia promozione ma devo spendere altre 10€ ,
 ah pensavo solo di 5€ non ho controllato quanto mi hai rimborsato ,TOP_UP
 nn mi bastano i giga dell offerta che ho extra d2 giga a 5 euro nn mi posso più attivarla o più giga ma da spendere poco ,
 ok però io adesso sul app tra i miei numeri registrati vedo oltre che al mio numero fisso anche l altro numero cosa devo fare posso cancellarlo ,Other
 quindi per questi giorni non posso usufruire lei può aiutarmi eventualmente ,
 si volevo ripartire con 1 gb ma dato che mi era stata attivata la exlusive mi mancavano quei 2 euro per aggiungere ai 3 e rifar partire la promozione ,
 ho provato a fare la nuova registrazione ma non mi accetta la nuova password io non so più come fare e non è la prima volta che ci provo ,
 devo andare a praga e volevo sapere se era ancora in funzione la promozione di 3 euro che dava chiamate msg e intenet ,
 okk allora puoi attivarla scusami volevo un altra info ho sentito parlare di un offerta di 7 euro cn 3 giga e 1000 minuti ,
 eh ma a me serve oggi la promozione perchè scade oggi tra quanto devo ricontattare  devo ripetere la stessa cosa   ,
 no ho letto molto online e vorrei sapere se voi potete fare qualcosa per carmela arrivare  farmela ,
 buon pomeriggio vorrei sapere perché ancora nel mese di dicembre non ho ricevuto la fattura vodafone via email ,
 ok grazie posso salutarti o devo attendere  ,
 cosa riguarda perché io non ho attivato nulla ,
 è possibile poi avere un rimborso purtroppo abbiamo regalato il telefono a mia nonna e ha schiacciato involontariamente la videochiamata si tutti i servizi a pagamento grazie ,
 ti avevo già detto che ho scaricato l app my vodafone con la email di mio marito ma arrivano molti messaggi che chiedono di iscriversi a varii siti ,
 so che o i 5 euro in più per nuova linea x12 mesi dopo i 12 mesi pago solo 25 giusto  e la fibra si disattiva da sola  senza pagare costi  se non o capito male dopo i 12 mesi ,
 si è quello si grazie ,
 buongiorno io ieri avevo un credito di circa 24€ mi son state rinnovate due promo ma dovevano scalarmi 2015 cent una cosa del genere comunque invece io mi ritrovo con 160 ora sul telefono perché  ,
 buongiornoho attivato la christmas  e ho letto che i gb sono in 4g io non ho il 4g ,
 non ricevo la fattura via email e ho chiedto più volte di riattivare il servizio l ho chiedto a giugno ad agosto a ottobre e a gennaio mi avevano assicurato che mi avreste fatto sapere sono passati 4 giorni e ancora nulla ,
 ciao io avrei bisogno di cambiare l intestatario di questa sim  posso farlo online ,
 lo so ma per il momento vorrei rimanere con l offerta che ho già ,
 percgd quella di un gb non la posso togliere ,
 buon pomeriggio vorrei togliere il servizio digitale attivo sulla mia sim mi puoi aiutare per favore ,
 ok speriamo auguri buon anno a tutti e tutte e porti le mie scuse ,Other
 a te ,
 a te ,
 a te ,
 a te ,
 a te ,
 a te ,
 a te ,
 grazieanche a te ,
 a te ,
 a te ,
 a te  ,
 a te ,
 buongiorno vorrei sapere perchè il mio giorno di rinnovo continua ad anticipare ,
 3400000000 questo nn lo uso è  uno sbaglio della vodafone di circa un anno fa quando sono passati appunto dalla wind alla vodafone  invece di passarmi subito solo il mio n di tel che uso attualmente mi hanno dato il n che ti ho scritto all inizio ,
 salveper sbaglio si è attivato un servizio in abbonamento che ho gia provveduto a disattivaretuttavia vorrei usufruire del servizio di rimborso potrebbe anche confermare l avvenuta disattivazione di questo servizio di abbonamento ,
 ciao senti vorrei attivare vodafone shake ma nn ho capito per quale motivo nn me lo fa attivare avendo fatto una ricarica di 15 euro poco fa ,
 ciao emanuele controllando dall app la situazione del mio conto 3392221771 ho visto che ci sono 46cent di importo da fatturare per caritá la cifra è irrisoria ma considerando che ho attivato la relax da neanche una settimana vorrei capire se ho sbagliato qualcosa e come evitare di far lievitare l importo ,
 buongiorno vorrei sapere se ci sono nuove offerte minuti e giga e se si può attivare la nuova offerta special  1000 a 7 euro no serviceable molto ,
 cuao debora mi chiamo erica mi aiuti a controllare come mai ho speso piu di 6 euro in sms quando ho l offerta unlinjted che comprende sms gratuiti grazie ,
 no è possibile ottenere il rimborso e rinunciare subito perché  io questo servizio lo avevo disattivato quando avevo ricevuto l sms io non lho richiesto ci 6 ,
 ascoltami io nn vogli attivato niente io volevo solo qualcosina per navigare fino al 0701 che mi attivano la mia promozionesi può ,
 non riesco a capire cosa succede al mio profilo  non mi fa accedere  se vado su sblocca profilo inserisco il mio numero  il codice che mi arriva via sms ma quando inserisco username e password mi dice che uno dei due è sbagliato ,
 in passato era già successo che trovassi servizi attivati a mia insaputa probabilmente è anche questo un modo per vodafone di guadagnarci ma mi sono sempre stati rimborsati per intero 5 euro in un mese in più sono tanti tanti da fammi pensare di cambiare gestore ,
 ho anche attivato tempo fa tokito e altre cose ma nn riesco a disattivarle puoi farlo tu per me grazie molte ,
 buon giorno non mi fa chiamare da telefono fisso ma cio la linea internet al massimo ,
 ho terminato i gb proprio oggi volevo sapere se potrei avere un gb che si paga al rinnovo perché non ho credito o se posso avere almeno oggi internet gratis ,
 ciao io vorrei passare ad una ricaricabile perche wind adesso con 29 euro mi darebbe minuti edsms infiniti e 4 giga io ora ne ho solo 2 serve un codice di migrazione o basta andare in un centro o cè una tariffa vodafone cn 4 giga ,
 mi puoi dire quanti minuti e quanti messaggi ho ,
 salve ho finito i giga a causa del mio bambino  mi scarica giochi volevo sapere se c era un offerta tipo quella del giga con 3€ ,
 ciao a me servirebbe sapere visto che non effettuo la ricarica da un po di tempo vorrei sapere quando devo farla adesso e il costo  ,
 invece quando l ho attivata era prevista non l avrei richiesta se per me è adesso a pagamento ne richiedo la disattivaxione e il rimborso l  ho fatta da vodait ent ,Other
 ciao ho visto che avete fatto un offerta 1000 min 1000 messaggi e 3gb di internet come posso attivarla ,
 buongiorno io ho il numero della chiavetta wifi che non funziona e il nr e 3400511799 ,
 ok grazie 1000 ma é sufficiente solo mezz ora come faccio a sapere se l operazione é andata a buon fine  ,
 buona sera la mia promozione finiva il02022016 invece mi sono accorto 28122015 ero semza credito ho fatto la ricarica da 1000 piu500euro il due di gennaio il tre di gennaio stavo di nuovo senza credito come mai ,
 un altra cosa però sul mio contatore mi vengono addebitati il giorno di natale 9 mms ,
 ok signorina ,
 buonasera volevo sapere se su questo numero è possibile attivare la vodafone special 1000 4gb ,
 ciao laura volevo sapere se mi potete dare una mano a far ripartire l extra 1 giga ,
 ciao avrei bisogno di sapere se avete delle offerte per la mia ricaricabile con chiamate internet e messaggi perché con la mia attuale tariffa spendo troppo e ho avuto offerte da altri operatori più convenienti e stavo valutando un eventuale cambio ,
 ciao salve io chiamo per il 3453515990 avevo credito 5€ ma ora non ce lo più e volevo attivare extra 1 gigama io non ho fatto nulla perché   ,
 salve volevo chiedere se c era un offerta piu economica possibile avendo sia internet che messaggi ,
 ok t ringrazio ,
 buongiorno gentilmente vorrei una verifica riguardo al l addebito su una chiamata che ho fatto considerando che ho un piano di minuti ed sms illimitati mi sembra un errore di sistema e gentilmente vorrei il rimborso della chiamata ,
 ok ma è 15 giorni ormai che va e viene  capisco due o tre giorni di manutenzione ma dato che le bollette le pago cioè non è una cosa temporanea come al solito ,
 salve ho ricevuto un sms firmato vodafone in cui si dice che è avvenuto un cambio tariffa adulto che io non ho mai richiesto vi prego assicurarsi che non sia vero non ho chiesto nulla né voglio sorprese il piano deve restare lo stesso di sempre ,
 ciao ho consumato i giga  sai dirmi come ho fatto ,
 buongiorno e buon anno rita le chiedo cortesemente come mai ho un credito negativo su questo numero quando ieri ho eseguito una ric di 5 euro ,
 buongiorno senta siccome il 4 gennaio ho attivato la christmas card è mi avevano detto che mi davano 4gb invece ne ho solo 2 perché ,
 ok me la puoi attivare ,
 ok me la puoi attivare ,
 ho attivato un offerta ma mi sono dimenticato di dirgli quando si attivava ,
 buongiorno ieri ho attivato la chrismas card la sua collega mi aveva detto che come era attiva dovevo spegnere e riaccendere il telefono  però non funziona ,
 ciao ho attivatoun giga extra hanno preso i soldi ma ancora non mi è stato attivato e ne ho bisogno al piú presto ,
 ma io ho una promo con il rinnovo settimanale ,
 buona sera volevo sapere per favore per che ho chiesto di far ripartire i gb ,
 buongiorno  volevo sapere da quando ho attiva la promozione tutto illimitato  grazie  ,ACTIVE_PROMOS
 si certo il mio numero è 3246832047 questo è il mio numero ,Other
 questo lo so ma io già carico tra questo numero e l altro 20€ al mese e non posso spendere ulteriori 5€ ,
 in questo momento non posso parlare telefonicamente telefono completamente fuori uso ho bisogno di risolvere in giornata quindi devo andare per forza in negozio ,
 non mi bastano quei 1000 messaggi a me non interessa più perché credevo che era come dicevo io o come aveva spiegato la sua collega ,
 cioè si perché abilitavo la connessione dati ma non faceva anche adesso è accesa sulle impostazioni che devo controllare quello che mi chiedevo era anche se secondo te scusa ti do del tu era un problema tipo di impostazioni un preblema del telefono e quindi andare da qualcuno o passare in un negozio vodafone ,
 ok allora procediamo con il disattivarli e  poi il rimborsoma lei mi garantisce che in futuro non ci saranno altri addebiti ,
 hotdpot si l ho attivato per sbaglio ma l ho acceso e spento cioè per 10 secondi mi han scalato 5€ mi è arrivato il messaggio poco dopo che l avevo spento con scritto che la promozione no n comprendeva l  hotspot  ,
 ok e possibile disattivarla visto che io lo attivato per provare come e e la connessione a volte andava altre no quindi io avevo la conessione interrotta ,
 vorrei sapere seper cortesia col l internet che mi è rimasto ci arrivo finoall 30 di gennaio ,
 non è male visto che con la mia attuale tariffa i minuti non sono compresi come faccio ad attivarla devo passare in un centro vodafone o lo posso dfare tramite voi ,Other
 avrei  bisogno di più giga ,
 il giga in più a 5 euro l avrei per sempre ,
 buonasera  ho appena ricevuto questo sms  e vorrei avere notizie in merito non è possibile rinnovare christmas card per altre promozioni già attive sul tuo numero verifica su app my vodafone ,ACTIVE_PROMOS
 no mi è stata attivata tempo fa perché io non passassi ad altro operatore e non l ho mai pagata il rinnovo è sempre stato gratuito ripeto fa fede la chattata scritta del 23 dicembre che presumo abbiate anche voi ,
 si vigliono la disdetta ma la sua collega quando mi a contattato per la linea nuova con vodafon mi a garantito che ci pensava tutto lei ora mi trovo a pagare due linee internet o risolvete il problema o faccio disdette a tutti ,
 non puoi farmi la cortesia di farlo tu non ho il pc disponibile al momento  ,
 no perché vorrei spendere meno dei 12 euro che spendo attualmente e quell offerta mi permetteva di farloanche perché i 1000 sms non mi servono mentre 1 gb in più potrebbe servirmi ,
 no io voglio lasciarla a 30 come posso fare ,
 si giusto ,
 si giusto ,
 ah ok perfetto ,
 ah ok perfetto ,
 ah ok perfetto ,
 ok se non si puo fare perché moa moglie ha ricevuto il messaggio oggi alle ore 15 16 ,
 quindi ricapitoliamoadesso se qualcuno mi cerca ma trova il cellulare non raggiungibile o spento mi arriva un sms che mi dice che il tale numero mi ha cercato giusto ,
 ah ok grazie scusami ,
 ciao volevo sapere se era possibile ridurre i giga di internet che ora ho attivi ,
 non capisco un co di giga o che altro vorrei sapere se c è un modo in minuti o che altro per navigare senza ricevere avvisi che ho finito il bonus naturalmente senza spese eccessive purtroppo non posso avere il telefono fisso ,
 va bene grazie gentile ,
 e ma non ho dato nessun numero preferito come fa ad essere attivo quale è non lo vedo nel mio account online son in 4g ,
 salve ho saputo che c è una offerta a 10€ al mese con 1000minuti 3gb di internet e 500 messaggi è vero  ,
 vodafone si è dimenticata di scriverlo nel messaggio  strano no visto che il messaggio è il suo modo di comunicare sconto sulle rate cosa vuol dire ,
 va bene grazia ciao ,
 si ma non ê quella che mi era stata accordata per il passaggio a vodafone  a questo punto non mi conviene restare in vodafone solo con la flexi start ,
 a dire il vero la wind mi da tutto questo a 10 euro al mese a me sarebbe bastata la special 1000 a questo punto mi vedo costretto a passare ad un altro operatore la ringrazio per il tempo tempo la gentilezza ,
 senti c è la possibilità di avere un piccolo sconto su questa christmas card in fondo sono cliente vostro da molti anni e non ho mai cambiato compagnia telefonica mi sembrano tanti 10 euro ne pago 12 e qualcosa in totale ,
 ciao ho finito i giga di navigazione e non riesco ad attivarmi l opzione a consumo ,
 visto che con voi mi trovo bene e non vorrei cambiare  vi chiedo se potete offrirmi la stessa offerta  ,
 grazie mille anche a te ciau ,
 sì hai ragione ma tu hai detto che quando si rinnova del pacchetto base che ho già è pago 10 euro voglio sapere quando pagherò tutto anche con i 5 gb ,
 ah non mi ero accorta puó comunque disattivarmi qualsiasi altra promozione attiva oltre al piano dei 15€ al mese e la ricarica automatica sotto i 5€ ,Other
 oggi mi ha chiamata il tecnico per comunicarmi che in centrale non c è alcun problema e la tua collega ieri mi ha detto di farvi sapere se con il suo reset cambiava qualcosa ma non è cambiato nulla ,
 ho un addebito di € 030 per un sms al nr447537410 ma non mi risulta averlo fatto mi puoi aiutare a capire  grazie ,
 dovrei avere l ultima rata di un telefono per 20 euro e basta ,
 ma anche con vodafone exclusive che permette di fare il tethering gratuitamente il problema persiste ,
 ciao vorrei chiedere la disattivazione e il rimborso se possibile x quanto riguarda l attivazione di un servizio digitale su questo numero ,
 mi inserisca almeno oggi internet e mi faccia sapere lei il prima possibile senza dover attendere  ne ho bisogno ,
 sto usando sul mio secondo numero di telefono 3409704018 vodafone special ma dopo 7 giorni di promozione usando solo fb un po al giorno terminano velocemente i gia giga questo accade da maggio dal momento in cui ho cambiato smarphone sobo passata da lg a samsung la promozione funziona solo 7 giorni facvio ricariche a vuoto ,
 anche perché ho solo due giga h attivato vodafone snake ed h finito anche quella nonostante la rete 4g nn mi funzioni un granché  bene ,
 perché era già successo l altranno e mi avevate rimesso i soldi  ma io la cosa che non capisco che è appena ho ricevuto il sms di aver terminato i minuti ho staccato e impossibile dei 50 minuti ,
 questo numero e su un router umts per cui non leggo nessun sms che mi venga spedito confermo che potete attivare anche questo secondo blocco ,ACTIVE_PROMOS
 ho un problema non capisco perche il mio credito e finito senza motivo ed è diventato negativo e non riesco a chiamare anche se ho l abbonamento ,
 buon gg luca  vorrei  attivare la navigazione a consumo poiché ho finito i giga della promozione ,
 buongiorno io avrei bisogno di parlare con un operatore per quanto riguarda un altro numero intestato mia mamma mi puoi dire come posso fare ,
 no grazue ,
 ma xke volevo attivare di nuovo so so internet xke mi serve ,
 buongiorno buona domenica ciao ho un problema non riesco a fare il riparti mi potresti aiutare ,
 facendo tutto dalla app purtroppo non potevo saperlo si può per cortesia riattivare ,
 perfetto per curiosità se la volessi tenere quanto costa il rinnovo la mia promozione rimane comunque valida grazie ,ACTIVE_PROMOS
 ciaoscusa il disturbo ma su questo numero mi sono ritrovato nuovamente un pagamento di 299€ x servizi digitali mai attivati da me anzi addirittura 2 mesi fa x lo stesso problema mi avevate fatto il blocco  però è ricapitato ,
 quando clicco il tuo piano tariffario dal fai da te avendo selezionato il numero di rete fissa mi dice errore durante esecuzione e poi sotto un triangolino con scritto si prega di riprovare più tardi ho già ritentato più volte ma l errore persiste ,
 buongiorno non riesco ad attivare il vodafone shake sul mio telefono come posso fare ,
 va bene grazie mille poi in altra informazione per installarla come bisogna fare mandate voi qualcuno ,
 se mese x mese si prendono i soldi ok grazie la mia prom e 1000 minuti 1000 messaggi e 4 giga di internet e tutti i mesi mi rimane sempre piu della meta di tutto ,
 ok news ,
 buongiorno esiste un offerta da attivare per poter chiamare un numero mobile bulgaro ,
 ed è evidente dalla fatturazione che sto pagando un sms che non ho inviato io perché disconosco quel nunero ma io l ho attivato nel 2011 lo hai capito iphone 4s comperato sempre tramite voi ,
 buongiorno ho un problema ho quasi finito il giga disponibiledi solito riuscite ad aggiungermi i 5 giga extrae possibile grazie e una promozione ,
 si l ho visto l offerta sul sito delle vodafone volevo chiedere una cosa siccome ho due numeri vodafone registrati nello stesso account se si poteva fare voleva attivarla in entrambi i numeri volevo ,
 a lei mi scusi per l irruenza ma non ne posso più di ritrovarmi a dover elemosinare pochi euro ,
 si ma nn lo ho  comunque nn mi è arrivato nessun messaggio nn è possibile poter far partire comunque la promozione  ,
 io di solito faccio sempre la ricarica di 10€ ma mi sono ritrovata sul credito 15€ e quindi dovrei fare la ricarica di 20€ questa cosa va avanti da un pò come faccio a tornare a ricariche di 10€ ,
 ok 10 per la promozione e non 20 mi dici che ne ho attive 2 perché ,
 ciao buona sera io vorrei una nuova tariffa con chiamate verso tutti e internet mi potresti consigliare qualcosa ,
 ciao mi sn attivato la meri crismas pensavo di avere 4 giga al mese al costo di 10 euro ma nn ho capito cm funziona ,
 ciao luisa fra un po mi finisce internet cm faccio mi sembra strano che devo pagare €5 per avere 1 giga ,
 salve sono interessato all offerta special 1000 e volevo sapere se vi sono costi di attivazione e se attualmente che non ho credito è attivabile ho intenzione di effettuare la ricarica nel pomeriggio perché al momento non posso ,
 salve vorrei un informazione ho letto sul social network facebook che ce una promozione vodafone 7 euro al mese con 3gb e 100 minuti ce ancora comunque piacete jenny ,
 perché io dovrei risolvere se no oggi chiudo tutto e da quattro mesi che andiamo avanti non è possibile ho una mail con la risoluzione del problema e oggi di nuovo lo stesso problema non ci credo ,
 ah ok si allora è quello scusa ma non capivo a chi fosse destinato pensavo a qualche addebito strano lo invia solo la prima volta e stop vero ,
 offerte ,Other
 quindi non è  previsto rimborso anche al di fuori del programma soddisfatti è  stato pur sempre un modo un pò subdolo di attivare un pagamento mensile non richiesto con un mero sms di avviso che per la verità  non ricordo di aver mai ricevuto  ,
 è un pacchetto 1000 minuti etc a 18 euro io ho il rinnovo della mia promo il 1401 se non sbaglio ,
 perfetto quindi ora dovrei ricaricare di venti euro per usufruire di entrambe le offerte ,
 il mio contratto relax finisce se non sbaglio l 8 gennaio e vorrei sapere dopo questa data la mia posizione con vodafone qual e ,
 salve la sim compresa nella mia offerta non va a la linea ma non la connessione internet ,Other
 ciao volevo delle info per sapere se mi convenga cambiare il mio piano volevo sapere i dettagli di under 30 e cosa ho con questo piano ,
 peccato non c è nient altro che potete offrirmistranamente  non ricevo mai peomozioni interessanti per quello che spendo ogni volta per aggiungere giga  ,
 buonasera avete un offerta dove posso spendere meno ed avere almeno 2giga di internet e 200  minuti e 200 sms  ho avuto un offerta da un altro operatore a 10 euro oppure 15 con smarthopn ,
 3400000000 ho il piano relax con internet illimitato in uk non capisco la cifra ,
 come prima mi dici che il riparti e di 300€ adesso perché io ti o scrittoin quel modo che la sua collega me la fattodi 400€ anche tu la stessa cosa e allora prima perché mi scrivi che posso fare il ripartì di 300€ ,
 salve io ho attivato 20 giga extra su un modem vodafone ma mi e atrivata la fattura e ci sono dei soldi in piu come mai  ,
 buonaserada qualche mese ho problemi di connessione ed ora non funziona nemmeno la internet keypenso che ci sia bisogno di un tecnicocome avevo già segnalato qualche tempo fa ,
 avendo finito i gbho attivato  ripartì al costo di 5euromi è arrivato il messaggio di conferma ma internet non funziona ancoracome mai ,
 non mi sembra una cosa giusta ,
 ok non puoi sollecitare  ,
 ora lavoro se riesce a risolvere però mi farebbe una cortesia probabilmente avevo lasciato l applicazione mappe accesa anche se avevo l iphone in tasca e mi ha succhiato così i mb in eccesso che io però non ho utilizzato ,
 ho finito i gb e ho attivato 1 gb in piu come mai non mi arriva ,
 salveho effetuato il test adsl più volte e mi dice che la mia conessione anziché di essere a 20 mbps e a 105mbpsho anche controllato tutti i pasaggi e vanno bene ma la conessione e più lenta rispetto all  accordo di contrattocome mai ,
 di gratuito non posso attivare niente per favore ,
 come posso fare per avere questo dato  non so se il piano che ho e giusto oer me ,
 ciao valentinavolevo un informazione in merito ad una promozione che ho attivato ierila christmas card per avere internet in piu ,
 se passare a wind o rimanere a vodafone dati che ho più sim e a breve farò anche l adsl verso maggio che mi scade il vincolo ,
 salve pasquale la mia tariffa base è deleteria  volevo minuti internet ed sms a 10 euro come tanti miei amici che hanno vodafone ,
